,model,model__learning_rate,model__n_estimators,model__n_neighbors,model__C,model__degree,model__gamma,model__kernel,mean_test_score,std_test_score,rank
14,AdaBoostClassifier(random_state=0),0.0008154442572252202,400.0,,,,,,0.31444241316270566,0.027976385851686183,72
3,AdaBoostClassifier(random_state=0),0.404547541883062,266.0,,,,,,0.3126142595978062,0.023082609987414914,73
25,AdaBoostClassifier(random_state=0),0.4741660801631612,377.0,,,,,,0.29981718464351004,0.06046212719356844,74
4,AdaBoostClassifier(random_state=0),0.7380717297255002,304.0,,,,,,0.25411334552102377,0.022335425965009675,75
24,AdaBoostClassifier(random_state=0),0.7853504605343424,125.0,,,,,,0.1663619744058501,0.002153327171796076,76
22,AdaBoostClassifier(random_state=0),0.0010842586935532962,36.0,,,,,,0.12431444241316271,0.044338557001498205,77
6,AdaBoostClassifier(random_state=0),0.0006216279256368926,48.0,,,,,,0.1206581352833638,0.04752804047069204,78
18,AdaBoostClassifier(random_state=0),6.798010056748587e-05,372.0,,,,,,0.1206581352833638,0.04752804047069204,78
7,AdaBoostClassifier(random_state=0),0.0010386675705853117,10.0,,,,,,0.09140767824497258,0.02894423736147473,80
5,AdaBoostClassifier(random_state=0),6.62589428851847e-06,251.0,,,,,,0.07678244972577697,0.027027954997911927,81
0,AdaBoostClassifier(random_state=0),1.1528236991174668e-05,379.0,,,,,,0.07495429616087751,0.024822595186837902,82
31,AdaBoostClassifier(random_state=0),1e-06,400.0,,,,,,0.06398537477148081,0.01454572092281656,83
27,AdaBoostClassifier(random_state=0),0.008188903304596862,1.0,,,,,,0.06398537477148081,0.01454572092281656,83
21,AdaBoostClassifier(random_state=0),3.6111036050911355e-06,31.0,,,,,,0.06398537477148081,0.01454572092281656,83
15,AdaBoostClassifier(random_state=0),1.0,1.0,,,,,,0.06398537477148081,0.01454572092281656,83
2,AdaBoostClassifier(random_state=0),1.8319183630977887e-06,27.0,,,,,,0.06398537477148081,0.01454572092281656,83
53,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.023712937538341843,2.0,2.5040057660094555e-06,rbf,0.038391224862888484,0.009038007702087751,88
49,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.38113240938241805,1.0,1.5396579810498244e-06,poly,0.038391224862888484,0.009038007702087751,88
47,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.012836343412966543,3.0,1.2432371422153849e-05,poly,0.038391224862888484,0.009038007702087751,88
45,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.15295353548691665,6.0,8.519419221671917e-05,poly,0.038391224862888484,0.009038007702087751,88
46,"SVC(C=0.25495748488626513, degree=6, gamma=2.375532884710567e-06,
    kernel='linear')",,,,0.0067103847039467765,6.0,0.0006131422041203723,rbf,0.038391224862888484,0.009038007702087751,88
